"experimento","media_tempo_treino","media_acuracia_treino","media_acuracia_teste"
"CPU_cnnC5_5x20_200E_12T","47.45","93.6","93.51"
"CPU_cnnC5_5x20_200E_1T","72.34","93.6","93.51"
"CPU_cnnC5_5x20_200E_2T","72.06","93.6","93.51"
"CPU_cnnC5_5x20_200E_4T","36.49","93.6","93.51"
"CPU_cnnC5_5x20_200E_8T","29.29","93.6","93.51"
"CPU_cnnC5_5x20_50E_12T","10.65","84.27","85.45"
"CPU_cnnC5_5x20_50E_1T","18.27","84.27","85.45"
"CPU_cnnC5_5x20_50E_2T","20.94","84.27","85.45"
"CPU_cnnC5_5x20_50E_4T","11.29","84.27","85.45"
"CPU_cnnC5_5x20_50E_8T","7.57","84.27","85.45"
"CPU_cnnC5_C5_D45_D20_200E_12T","41.79","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_200E_1T","69.76","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_200E_2T","68.39","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_200E_4T","34.14","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_200E_8T","29.57","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_50E_12T","10.49","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_50E_1T","19.13","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_50E_2T","18.4","50.26","50.55"
"CPU_cnnC5_C5_D45_D20_50E_4T","9.77","93.56","93.87"
"CPU_cnnC5_C5_D45_D20_50E_8T","7.52","92.29","92.21"
"CPU_cnnC5_D45_D20_200E_12T","30.68","93.13","93.36"
"CPU_cnnC5_D45_D20_200E_1T","62.39","93.13","93.36"
"CPU_cnnC5_D45_D20_200E_2T","63.23","93.13","93.36"
"CPU_cnnC5_D45_D20_200E_4T","38.24","93.13","93.36"
"CPU_cnnC5_D45_D20_200E_8T","23.03","93.13","93.36"
"CPU_cnnC5_D45_D20_50E_12T","8.0","84.69","86.01"
"CPU_cnnC5_D45_D20_50E_1T","16.0","84.69","86.01"
"CPU_cnnC5_D45_D20_50E_2T","16.26","84.69","86.01"
"CPU_cnnC5_D45_D20_50E_4T","8.21","84.69","86.01"
"CPU_cnnC5_D45_D20_50E_8T","5.9","84.69","86.01"
"CPU_cnnC5_D45_D45_D20_200E_12T","37.43","94.11","94.23"
"CPU_cnnC5_D45_D45_D20_200E_1T","93.34","94.11","94.23"
"CPU_cnnC5_D45_D45_D20_200E_2T","94.85","94.11","94.23"
